0x0463	sub_401000(0000, 0000, 0467)	[00000000 : 00000000 : 66040000]	Reg: 
0x0467	sub_401000(0000, 0466, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x046A	sub_401000(0476, 0000, 0000)	[05000000 : 00000000 : 00000000]	Reg: FFFFFFFB
0x046D	sub_401000(0000, 0466, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000005
0x0470	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0473	sub_401000(0000, 0000, 0477)	[00000000 : 00000000 : 9b040000]	Reg: 
0x0477	sub_401000(0000, 049b, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x047A	sub_401000(00a1, 0000, 0000)	[9d000000 : 00000000 : 00000000]	Reg: FFFFFF63
0x047D	sub_401000(0000, 049b, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000009D
0x0480	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x0483	sub_401000(0000, 049c, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0486	sub_401000(00a1, 0000, 0000)	[9d000000 : 00000000 : 00000000]	Reg: FFFFFF63
0x0489	sub_401000(0000, 049c, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000009D
0x048C	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x048F	sub_401000(0000, 04a2, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x0492	sub_401000(00a1, 0000, 0000)	[9d000000 : 00000000 : 00000000]	Reg: FFFFFF63
0x0495	sub_401000(0000, 04a2, 0000)	[00000000 : 00000000 : 00000000]	Reg: 0000009D
0x0498	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x049B	sub_401000(0000, 009d, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x049E	sub_401000(0466, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: FFFFFFFB
0x04A1	sub_401000(0000, 009d, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000005
0x04A4	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x04A7	sub_401000(0000, 0000, 04ab)	[00000000 : 00000000 : aa040000]	Reg: 
0x04AB	sub_401000(04aa, 0000, 0000)	[01000000 : 00000000 : 00000000]	Reg: FFFFFFFF
0x04AE	sub_401000(0000, 00a1, 0000)	[00000000 : 9d000000 : 00000000]	Reg: 0000009E
0x04B1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x04B4	sub_401000(0000, 0000, 04b8)	[00000000 : 00000000 : b7040000]	Reg: 
0x04B8	sub_401000(0000, 04b7, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
0x04BB	sub_401000(04c7, 0000, 0000)	[08050000 : 00000000 : 00000000]	Reg: FFFFFAF8
0x04BE	sub_401000(0000, 04b7, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000508
0x04C1	sub_401000(0000, 0000, 0000)	[00000000 : 00000000 : 00000000]	Reg: 00000000
0x04C4	sub_401000(0000, 0000, 04c8)	[00000000 : 00000000 : ec040000]	Reg: 
0x04C8	sub_401000(0000, 04ec, 0000)	[00000000 : 00000000 : 00000000]	Reg: 
