Congratulations! All your png are belong to us!
SYSCALL(args) 		 = return
thread_selfid(0x0, 0x0, 0x0)		 = 916036 0
open(".\0", 0x0, 0x1)		 = 3 0
fstat64(0x3, 0x7FFF50570820, 0x1)		 = 0 0
fcntl(0x3, 0x32, 0x7FFF50570AC0)		 = 0 0
close(0x3)		 = 0 0
stat64("/Volumes/CTF/PaloAlto/Unix/5/Krypto\0", 0x7FFF50570790, 0x7FFF50570AC0)		 = 0 0
csops(0x0, 0x0, 0x7FFF50570AC0)		 = 0 0
issetugid(0x0, 0x0, 0x7FFF50570AC0)		 = 0 0
shared_region_check_np(0x7FFF5056E9C8, 0x0, 0x7FFF50570AC0)		 = 0 0
stat64("/usr/lib/dtrace/libdtrace_dyld.dylib\0", 0x7FFF5056FF58, 0x7FFF50570AC0)		 = 0 0
open("/usr/lib/dtrace/libdtrace_dyld.dylib\0", 0x0, 0x0)		 = 3 0
pread(0x3, "\312\376\272\276\0", 0x1000, 0x0)		 = 4096 0
pread(0x3, "\317\372\355\376\a\0", 0x1000, 0x1000)		 = 4096 0
fcntl(0x3, 0x61, 0x7FFF5056E2A0)		 = 0 0
mmap(0x0, 0x670, 0x5, 0x1, 0x3, 0x1000)		 = 0x10FBF2000 0
munmap(0x10FBF2000, 0x670)		 = 0 0
mmap(0x10FBF8000, 0x2000, 0x5, 0x12, 0x3, 0x1000)		 = 0x10FBF8000 0
mmap(0x10FBFA000, 0x1000, 0x3, 0x12, 0x3, 0x3000)		 = 0x10FBFA000 0
mmap(0x10FBFB000, 0x2F40, 0x1, 0x12, 0x3, 0x4000)		 = 0x10FBFB000 0
close(0x3)		 = 0 0
stat64("/usr/lib/dtrace/libdtrace_dyld.dylib\0", 0x7FFF505704D8, 0x1)		 = 0 0
stat64("/usr/lib/libc++.1.dylib\0", 0x7FFF5056FCF8, 0x1)		 = 0 0
stat64("/System/Library/Frameworks/Foundation.framework/Versions/C/Foundation\0", 0x7FFF5056FCF8, 0x1)		 = 0 0
stat64("/usr/lib/libSystem.B.dylib\0", 0x7FFF5056FCF8, 0x1)		 = 0 0
stat64("/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation\0", 0x7FFF5056FCF8, 0x1)		 = 0 0
stat64("/System/Library/Frameworks/CoreGraphics.framework/Versions/A/CoreGraphics\0", 0x7FFF5056FCF8, 0x1)		 = 0 0
stat64("/System/Library/Frameworks/Security.framework/Versions/A/Security\0", 0x7FFF5056FCF8, 0x1)		 = 0 0
stat64("/usr/lib/libobjc.A.dylib\0", 0x7FFF5056FCF8, 0x1)		 = 0 0
stat64("/usr/lib/libc++abi.dylib\0", 0x7FFF5056FC08, 0x1)		 = 0 0
stat64("/usr/lib/system/libcache.dylib\0", 0x7FFF5056F738, 0x1)		 = 0 0
stat64("/usr/lib/system/libcommonCrypto.dylib\0", 0x7FFF5056F738, 0x1)		 = 0 0
stat64("/usr/lib/system/libcompiler_rt.dylib\0", 0x7FFF5056F738, 0x1)		 = 0 0
stat64("/usr/lib/system/libcopyfile.dylib\0", 0x7FFF5056F738, 0x1)		 = 0 0
stat64("/usr/lib/system/libcorecrypto.dylib\0", 0x7FFF5056F738, 0x1)		 = 0 0
stat64("/usr/lib/system/libdispatch.dylib\0", 0x7FFF5056F738, 0x1)		 = 0 0
stat64("/usr/lib/system/libdyld.dylib\0", 0x7FFF5056F738, 0x1)		 = 0 0
